127	492	114	12.5	1.26	3.11	.406	0.33	0.91	.361	0.48	0.68	.706	1.95	0.30	0.83	1.13	1.02	0.47	0.08	1.54	0.52	3.34	1
128	60	1	6.8	0.97	2.33	.414	0.07	0.27	.250	0.38	0.75	.511	1.29	0.72	0.63	1.35	0.35	0.17	0.03	1.10	0.25	2.38	3
129	777	511	29.8	5.04	11.61	.434	1.36	3.59	.379	1.96	2.26	.870	8.61	0.52	2.31	2.82	5.01	0.91	0.15	2.50	2.31	13.41	1
130	643	386	30.5	4.56	10.16	.449	0.10	0.40	.260	2.86	3.86	.740	6.62	1.25	3.20	4.45	1.63	0.69	0.36	2.23	1.60	12.08	1
131	450	93	14.3	1.50	3.07	.487	0.00	0.01	.333	1.04	1.45	.714	3.23	1.25	2.17	3.42	0.53	0.33	0.37	2.59	0.76	4.03	9
132	629	430	32.0	6.69	14.95	.447	1.66	4.37	.380	4.00	4.77	.838	9.98	0.99	2.84	3.83	2.13	0.92	0.10	1.59	1.53	19.03	1
133	414	58	14.4	0.62	1.53	.407	0.00	0.01	.000	0.48	1.05	.459	3.34	1.76	2.18	3.94	0.60	0.48	0.47	2.28	0.66	1.73	9
134	465	228	24.8	3.34	7.64	.437	0.81	2.05	.396	1.52	1.85	.823	5.97	1.20	2.65	3.85	1.53	0.85	0.18	2.48	1.12	9.01	1
135	522	131	23.8	4.39	10.38	.423	1.28	3.39	.376	2.24	2.69	.833	4.84	0.39	1.66	2.04	1.07	0.57	0.20	1.96	1.16	12.30	8
136	189	33	14.2	1.98	3.74	.530	0.00	0.00	.000	1.06	2.03	.525	2.88	0.97	1.93	2.90	0.25	0.34	0.98	2.85	1.14	5.02	4
137	54	9	11.1	1.24	3.35	.370	0.39	1.04	.375	0.69	0.96	.712	1.88	0.44	0.81	1.26	1.02	0.33	0.06	1.15	0.69	3.56	2
138	487	92	22.7	3.71	8.95	.414	0.67	2.22	.304	1.80	2.48	.725	4.84	0.39	1.67	2.07	2.25	0.83	0.21	1.63	1.52	9.89	8
139	1010	697	27.1	5.09	10.92	.467	0.01	0.09	.147	2.98	4.17	.715	9.65	1.97	5.22	7.19	1.36	0.47	1.80	2.87	1.85	13.18	1
140	547	404	26.4	3.22	8.19	.393	0.73	2.42	.299	1.35	1.88	.716	8.10	0.63	2.30	2.93	6.09	1.42	0.28	2.39	2.51	8.50	1
141	346	78	17.2	2.53	6.33	.400	0.83	2.33	.358	0.50	0.71	.703	2.84	0.30	1.35	1.65	1.02	0.43	0.21	1.33	0.86	6.40	8
142	729	482	27.3	3.91	8.78	.445	0.84	2.16	.388	2.13	2.71	.785	9.56	1.88	5.95	7.83	1.49	0.66	0.40	2.59	1.22	10.78	1
143	586	431	31.5	5.69	13.09	.434	1.72	4.51	.380	3.73	4.40	.848	9.72	1.15	3.78	4.93	1.87	0.96	0.82	2.78	1.87	16.82	1
144	548	146	21.4	3.23	7.18	.451	0.19	0.80	.235	1.23	1.70	.721	5.19	0.95	1.88	2.83	1.76	0.93	0.25	1.61	1.18	7.88	1
145	902	553	28.6	4.17	9.44	.442	1.34	3.58	.376	2.01	2.50	.804	8.15	0.75	3.70	4.45	2.32	0.76	0.34	2.05	1.46	11.70	1
146	764	345	20.6	1.93	3.88	.497	0.01	0.07	.130	1.04	1.70	.615	7.13	2.75	4.12	6.87	0.92	0.66	0.40	2.51	0.80	4.90	1
147	239	43	12.2	1.58	3.55	.446	0.22	0.72	.308	0.66	0.86	.766	1.89	0.32	1.45	1.77	0.49	0.24	0.08	1.47	0.65	4.04	6
148	567	142	15.7	1.89	4.68	.404	0.54	1.57	.346	0.60	0.89	.673	2.33	0.33	1.43	1.76	0.91	0.48	0.17	1.81	0.81	4.91	1
149	465	127	19.4	2.52	6.29	.401	0.65	1.91	.338	1.51	1.95	.776	4.28	0.72	2.05	2.77	1.46	0.57	0.12	1.61	1.09	7.21	8
150	3	0	3.4	0.33	1.33	.250	0.00	0.00	.000	0.33	0.67	.500	-0.17	0.00	0.33	0.33	0.00	0.00	0.00	0.33	0.00	1.00	1
151	911	910	39.3	9.82	19.80	.496	1.38	4.03	.342	6.32	8.49	.745	20.08	1.19	5.95	7.14	6.92	1.70	0.79	1.87	3.37	27.35	1
152	559	208	25.9	3.12	6.08	.514	0.00	0.07	.024	1.63	2.59	.630	9.31	2.60	5.17	7.77	1.23	0.93	0.70	2.76	1.01	7.88	1
