99	72	8	7.6	1.10	2.06	0.534	0.00	0.01	0.000	0.38	0.58	0.643	0.50	0.67	1.17	0.19	0.25	0.07	0.71	0.36	2.57	2	1	100	193	Hassan Adams
100	14	0	11.8	0.64	2.14	0.300	0.07	0.36	0.200	0.43	0.43	1.000	0.43	0.64	1.07	1.21	0.36	0.00	0.64	0.86	1.79	1	1	91	185	Will Blalock
102	665	283	22.4	3.51	7.11	0.494	0.02	0.08	0.204	1.91	2.30	0.828	1.55	3.17	4.72	0.80	0.38	0.65	1.87	1.00	8.94	1	2	113	203	Brandon Bass
103	127	8	13.3	1.28	3.28	0.389	0.28	0.96	0.295	0.56	0.72	0.780	0.25	0.99	1.24	1.37	0.54	0.08	1.17	0.84	3.39	2	1	84	191	Daniel Ewing
104	484	288	24.1	4.06	9.12	0.445	0.98	2.65	0.369	1.59	2.06	0.773	1.88	4.09	5.97	1.12	0.71	0.39	2.55	0.99	10.69	8	2	107	208	Ersan Ilyasova
105	707	628	35.7	7.34	16.20	0.453	0.89	2.85	0.313	3.49	4.52	0.773	0.67	2.85	3.52	4.76	1.74	0.33	2.39	2.80	19.06	1	1	84	191	Monta Ellis
107	179	21	14.9	1.66	4.29	0.388	0.92	2.60	0.353	0.53	0.62	0.847	0.22	1.14	1.36	2.41	0.42	0.05	1.12	0.55	4.77	5	1	79	185	Travis Diener
108	131	7	11.9	0.97	2.50	0.387	0.08	0.40	0.212	0.47	0.73	0.642	0.37	1.11	1.49	1.18	0.75	0.11	1.74	1.10	2.49	4	1	99	196	Orien Greene
110	157	1	17.0	2.84	6.99	0.407	1.06	2.90	0.366	1.28	1.45	0.882	0.14	1.22	1.36	1.04	0.35	0.06	1.53	1.01	8.03	4	1	81	185	Salim Stoudamire
111	487	371	27.6	3.88	8.72	0.445	0.69	1.96	0.349	1.66	2.08	0.799	1.27	3.33	4.60	1.46	0.72	0.16	1.93	1.13	10.11	8	2	111	201	Ryan Gomes
112	145	27	16.2	1.81	3.86	0.470	0.30	0.94	0.316	0.70	0.86	0.815	0.74	1.54	2.28	0.79	0.34	0.24	1.28	0.63	4.62	3	2	98	201	Mickael Gelabale
113	26	0	12.5	1.73	4.27	0.405	0.46	1.42	0.324	1.04	1.31	0.794	0.38	1.12	1.50	0.77	0.38	0.04	0.54	0.54	4.96	2	1	95	191	Bracey Wright
114	564	191	22.1	4.13	8.83	0.467	0.09	0.39	0.237	1.77	2.45	0.725	1.85	3.51	5.36	1.41	0.87	0.81	2.45	1.62	10.12	9	2	118	211	Andray Blatche
115	662	64	23.1	3.92	9.43	0.416	1.08	3.17	0.342	3.09	3.80	0.814	0.35	1.66	2.02	2.92	0.88	0.16	1.39	1.39	12.01	1	1	79	185	Lou Williams
116	6	0	1.6	0.00	0.17	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.17	0.50	0.67	0.00	0.33	0.00	0.17	0.00	0.00	2	3	109	218	Martynas Andriuskevicius
117	5	0	1.2	0.00	0.60	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.00	0.20	0.20	0.00	0.00	0.00	0.20	0.60	0.00	1	3	116	216	Mile Ilic
118	20	0	3.6	0.70	1.30	0.538	0.05	0.10	0.500	0.45	0.65	0.692	0.35	0.35	0.70	0.05	0.05	0.10	0.55	0.45	1.90	1	2	108	211	Uros Slokar
120	87	18	13.2	1.31	2.90	0.452	0.00	0.05	0.000	1.22	1.77	0.688	1.46	2.10	3.56	0.40	0.51	0.17	1.87	0.47	3.84	2	2	109	203	Lawrence Roberts
121	614	335	22.6	3.21	5.61	0.572	0.09	0.27	0.329	1.11	1.63	0.682	2.13	3.58	5.71	1.07	0.62	1.09	3.16	1.14	7.62	1	2	113	206	Amir Johnson
122	85	0	11.6	1.61	4.16	0.387	0.16	0.87	0.189	0.62	0.84	0.746	0.32	0.60	0.92	1.94	0.36	0.02	0.98	0.78	4.01	2	1	83	196	Roko Ukic
123	17	0	8.5	1.35	2.24	0.605	0.00	0.00	0.000	0.06	0.35	0.167	1.12	1.00	2.12	0.12	0.12	0.41	1.47	0.12	2.76	1	2	120	208	Chris Taft
124	23	0	9.2	1.00	2.48	0.404	0.00	0.00	0.000	0.13	0.26	0.500	0.70	1.17	1.87	0.74	0.30	0.35	1.78	0.61	2.13	1	3	118	208	Robert Whaley
125	16	0	5.8	1.06	2.50	0.425	0.25	0.81	0.308	0.44	0.50	0.875	0.44	0.75	1.19	0.19	0.19	0.06	0.50	0.19	2.81	2	2	88	201	Dijon Thompson
126	30	0	7.8	1.13	3.07	0.370	0.27	0.83	0.320	0.17	0.33	0.500	0.30	0.67	0.97	0.53	0.20	0.13	0.43	0.37	2.70	2	1	84	196	Alex Acker
127	281	12	11.0	1.07	2.30	0.467	0.00	0.03	0.111	0.84	1.17	0.717	0.91	1.41	2.33	0.35	0.21	0.55	1.97	0.57	2.99	8	3	104	208	Solomon Jones
128	1092	1021	36.2	6.54	14.85	0.441	1.60	4.34	0.369	2.39	2.99	0.800	0.91	3.19	4.10	4.19	0.90	0.21	1.84	2.04	17.08	1	1	109	201	Joe Johnson
129	618	107	22.5	3.98	9.40	0.423	1.31	3.65	0.360	1.75	2.20	0.796	0.62	1.72	2.34	2.95	0.88	0.07	2.40	1.42	11.01	1	1	82	175	Nate Robinson
130	1052	430	31.0	5.36	13.11	0.409	1.76	5.05	0.349	3.01	3.50	0.860	0.39	2.03	2.42	3.61	0.96	0.22	1.58	1.98	15.50	1	1	91	196	Jamal Crawford
131	527	410	24.9	4.89	8.98	0.545	0.00	0.00	1.000	3.15	4.91	0.642	1.80	3.37	5.17	0.54	0.29	0.73	2.97	2.23	12.94	1	3	134	213	Eddy Curry
133	943	786	31.9	6.75	14.28	0.472	0.13	0.49	0.260	3.36	4.40	0.763	3.08	6.37	9.45	1.80	0.77	0.29	2.42	2.13	16.98	1	2	118	206	Zach Randolph
134	74	2	5.9	0.70	1.65	0.426	0.00	0.00	0.000	0.49	0.89	0.545	0.36	1.04	1.41	0.09	0.18	0.09	1.35	0.41	1.89	4	3	125	211	Randolph Morris
136	813	85	16.5	2.20	5.05	0.437	0.02	0.10	0.177	1.73	2.33	0.743	1.43	2.71	4.15	0.84	0.60	0.36	2.33	1.30	6.15	1	2	113	201	Malik Rose
137	430	78	24.0	2.53	6.17	0.411	0.80	2.28	0.353	1.58	1.96	0.809	0.37	1.86	2.23	2.30	0.78	0.27	1.93	1.19	7.46	7	1	95	193	Fred Jones
138	629	335	21.6	1.85	4.34	0.426	0.12	0.46	0.250	0.96	1.65	0.583	1.85	2.22	4.07	1.27	0.69	0.51	2.43	1.07	4.77	1	2	109	211	Jared Jeffries
139	357	179	13.4	1.82	3.75	0.485	0.00	0.01	0.000	0.67	1.08	0.620	1.10	1.98	3.08	0.33	0.26	1.08	2.77	1.13	4.31	1	3	136	213	Jerome James
140	671	451	28.9	3.65	9.52	0.383	1.48	4.20	0.354	1.35	1.85	0.729	0.37	2.45	2.82	4.77	1.21	0.16	2.10	1.78	10.13	1	1	79	188	Rafer Alston
141	215	47	11.3	0.97	2.31	0.419	0.00	0.03	0.143	0.64	1.00	0.642	1.23	1.95	3.18	0.34	0.26	0.60	1.29	0.64	2.58	6	3	111	216	Loren Woods
142	755	143	22.2	3.65	8.74	0.417	0.91	2.58	0.354	1.52	1.91	0.793	0.83	2.28	3.11	2.58	0.93	0.09	1.82	1.34	9.73	1	1	84	185	Bobby Jackson
143	977	705	30.7	3.05	6.98	0.437	1.28	3.33	0.384	1.22	1.64	0.743	1.30	2.88	4.18	1.76	1.01	0.93	2.26	0.90	8.61	1	2	100	203	Shane Battier
144	348	82	22.4	2.95	6.97	0.423	1.30	3.34	0.388	0.98	1.27	0.773	0.32	2.11	2.43	2.15	0.73	0.12	1.47	1.26	8.17	6	1	84	191	Luther Head
145	486	476	32.6	6.95	13.26	0.524	0.00	0.02	0.200	5.11	6.14	0.833	2.54	6.71	9.25	1.58	0.39	1.89	3.28	2.70	19.03	9	3	141	229	Yao Ming
146	576	543	37.6	6.15	14.35	0.429	1.00	2.92	0.341	4.84	6.07	0.797	1.67	3.91	5.58	6.03	1.47	0.39	3.14	3.52	18.14	1	1	88	191	Steve Francis
147	54	0	9.2	1.30	2.80	0.464	0.00	0.09	0.000	0.80	1.02	0.782	0.94	1.20	2.15	0.22	0.50	0.22	1.26	0.56	3.39	4	2	110	198	Mike Harris
148	662	459	26.7	5.23	10.54	0.496	0.05	0.16	0.287	2.11	2.84	0.743	1.88	5.11	6.99	1.69	0.66	0.31	2.84	1.59	12.62	8	2	109	206	Luis Scola
149	644	244	18.3	1.63	3.27	0.498	0.00	0.02	0.000	0.49	0.79	0.620	1.74	3.30	5.04	1.21	0.74	0.37	2.31	0.72	3.74	1	2	109	198	Chuck Hayes
151	1196	996	30.8	3.49	6.73	0.518	0.00	0.00	0.000	2.84	4.15	0.684	3.18	7.15	10.33	1.04	0.41	2.75	2.83	1.82	9.81	1	3	118	218	Dikembe Mutombo
