873	732	32.4	5.25	12.10	0.434	0.85	2.44	0.349	2.84	3.36	0.847	1.26	3.75	5.01	2.29	1.33	0.25	2.42	1.82	14.19	1	3	103	201	Caron Butler
409	75	17.3	2.18	4.24	0.513	0.00	0.00	0.000	1.37	2.27	0.603	1.66	3.06	4.71	0.36	0.31	1.04	2.17	0.94	5.72	1	5	116	206	Etan Thomas
495	79	18.6	2.93	5.87	0.499	0.01	0.04	0.158	1.04	1.23	0.844	1.12	2.29	3.41	1.19	0.65	0.21	2.42	0.98	6.90	8	4	112	203	Darius Songaila
518	103	17.7	2.31	5.66	0.408	1.15	2.99	0.383	0.58	0.68	0.866	0.15	1.58	1.73	1.31	0.36	0.14	1.37	0.71	6.35	1	2	93	196	Roger Mason
450	93	14.3	1.50	3.07	0.487	0.00	0.01	0.333	1.04	1.45	0.714	1.25	2.17	3.42	0.53	0.33	0.37	2.59	0.76	4.03	9	5	111	211	Jake Voskuhl
548	131	23.6	4.32	10.25	0.422	1.30	3.47	0.375	2.18	2.61	0.834	0.38	1.64	2.02	1.04	0.56	0.20	1.92	1.13	12.13	8	2	95	201	Nick Young
189	33	14.2	1.98	3.74	0.530	0.00	0.00	0.000	1.06	2.03	0.525	0.97	1.93	2.90	0.25	0.34	0.98	2.85	1.14	5.02	4	5	115	213	David Harrison
487	92	22.7	3.71	8.95	0.414	0.67	2.22	0.304	1.80	2.48	0.725	0.39	1.67	2.07	2.25	0.83	0.21	1.63	1.52	9.89	8	2	91	191	Flip Murray
547	404	26.4	3.22	8.19	0.393	0.73	2.42	0.299	1.35	1.88	0.716	0.63	2.30	2.93	6.09	1.42	0.28	2.39	2.51	8.50	1	1	85	191	Jamaal Tinsley
548	146	21.4	3.23	7.18	0.451	0.19	0.80	0.235	1.23	1.70	0.721	0.95	1.88	2.83	1.76	0.93	0.25	1.61	1.18	7.88	1	3	91	198	Marquis Daniels
764	345	20.6	1.93	3.88	0.497	0.01	0.07	0.130	1.04	1.70	0.615	2.75	4.12	6.87	0.92	0.66	0.40	2.51	0.80	4.90	1	5	107	211	Jeff Foster
465	127	19.4	2.52	6.29	0.401	0.65	1.91	0.338	1.51	1.95	0.776	0.72	2.05	2.77	1.46	0.57	0.12	1.61	1.09	7.21	8	3	100	196	Devin Brown
3	0	3.4	0.33	1.33	0.250	0.00	0.00	0.000	0.33	0.67	0.500	0.00	0.33	0.33	0.00	0.00	0.00	0.33	0.00	1.00	1	5	113	211	Lance Allred
582	208	25.2	3.03	5.92	0.513	0.00	0.07	0.024	1.58	2.51	0.631	2.53	5.04	7.57	1.20	0.90	0.68	2.69	0.98	7.65	1	5	121	211	Anderson Varejao
82	0	7.8	0.40	0.79	0.508	0.00	0.01	0.000	0.50	1.01	0.494	1.05	1.28	2.33	0.15	0.13	0.35	1.37	0.32	1.30	6	5	112	211	Dwayne Jones
395	49	15.7	1.71	3.27	0.524	0.00	0.02	0.000	1.17	1.97	0.594	1.38	2.64	4.02	0.37	0.48	0.69	2.49	0.85	4.59	8	5	113	211	Ian Mahinmi
891	349	26.5	4.61	10.24	0.450	1.46	3.98	0.368	3.53	4.26	0.827	0.70	3.03	3.74	4.00	1.38	0.31	2.14	2.09	14.21	1	2	93	198	Manu Ginobili
1107	481	24.5	2.55	6.00	0.425	0.72	2.10	0.341	1.16	1.59	0.726	1.49	3.27	4.76	2.12	1.05	0.93	2.42	1.24	6.97	1	4	100	206	Robert Horry
1229	951	33.0	6.97	15.88	0.439	1.54	4.12	0.373	3.75	4.69	0.799	1.24	3.48	4.72	3.52	1.08	0.62	2.79	1.95	19.23	1	3	100	198	Vince Carter
1035	794	30.7	4.75	10.22	0.464	0.91	2.40	0.379	3.32	4.32	0.769	0.85	3.42	4.26	2.21	0.72	0.32	2.32	1.63	13.73	1	3	104	201	Richard Jefferson
419	373	25.2	4.11	8.34	0.494	0.00	0.03	0.143	1.81	2.48	0.730	1.84	3.55	5.40	0.83	0.39	0.68	2.99	1.19	10.05	7	5	116	208	Nenad Krstic
840	337	23.7	3.17	7.75	0.409	1.10	3.29	0.334	1.74	2.00	0.871	0.78	1.92	2.70	4.04	1.35	0.12	1.66	1.85	9.18	1	1	77	183	Darrell Armstrong
601	93	14.0	0.84	1.96	0.427	0.00	0.01	0.167	0.30	0.63	0.467	1.39	2.30	3.69	0.45	0.38	1.05	2.03	0.59	1.97	1	5	127	213	DeSagana Diop
830	494	26.1	3.53	8.20	0.431	0.70	2.02	0.349	1.55	1.80	0.862	0.44	1.82	2.26	4.47	0.98	0.19	2.14	1.62	9.33	1	1	79	188	Luke Ridnour
473	139	15.4	2.06	4.47	0.462	0.00	0.03	0.154	0.52	0.77	0.678	1.13	2.75	3.88	0.48	0.41	0.49	2.45	0.79	4.66	8	5	112	213	Johan Petro
878	228	22.2	2.41	5.85	0.411	0.57	1.77	0.324	0.99	1.40	0.703	0.53	1.73	2.26	4.41	0.99	0.20	2.00	1.76	6.37	1	1	90	185	Earl Watson
97	34	15.4	1.77	3.51	0.506	0.00	0.00	0.000	0.74	1.22	0.610	1.26	2.62	3.88	0.21	0.27	0.89	2.31	0.73	4.29	5	5	111	213	Robert Swift
1208	900	30.3	5.42	11.55	0.469	0.00	0.04	0.120	2.54	3.32	0.764	1.94	4.21	6.15	2.20	0.68	0.26	2.89	2.04	13.38	1	4	109	206	Juwan Howard
987	771	24.3	2.82	5.67	0.498	0.00	0.02	0.125	1.76	2.82	0.626	2.76	4.34	7.10	0.83	0.33	1.42	2.91	1.45	7.41	1	5	120	211	Erick Dampier
1391	1350	36.0	4.47	11.18	0.400	1.43	4.10	0.349	2.23	2.84	0.785	1.27	5.00	6.27	8.69	1.93	0.32	1.85	2.87	12.60	1	1	95	193	Jason Kidd
970	564	31.2	5.55	13.59	0.409	1.02	3.30	0.309	4.79	5.83	0.822	0.95	2.21	3.16	3.34	0.90	0.45	1.87	2.72	16.92	1	3	99	198	Jerry Stackhouse
680	313	21.5	2.59	5.40	0.480	0.00	0.01	0.000	2.05	3.20	0.639	2.08	4.40	6.48	0.57	0.33	0.89	2.63	1.47	7.23	1	5	117	211	Jamaal Magloire
1294	1263	35.4	7.79	16.38	0.476	1.25	3.27	0.383	5.29	6.02	0.879	1.07	6.85	7.92	2.58	0.84	0.89	2.44	1.79	22.12	1	4	111	213	Dirk Nowitzki
45	1	5.4	0.73	2.20	0.333	0.33	0.87	0.385	0.11	0.18	0.625	0.07	0.49	0.56	0.11	0.09	0.00	0.47	0.22	1.91	3	3	84	201	Jeremy Richardson
391	70	26.7	3.43	6.58	0.522	0.25	0.77	0.329	1.95	2.51	0.779	1.87	2.86	4.73	1.56	0.87	0.47	1.85	1.12	9.07	8	3	95	203	Josh Childress
845	347	21.3	2.47	5.36	0.461	0.00	0.03	0.000	2.16	2.89	0.746	2.24	3.58	5.82	1.21	0.71	0.36	2.60	1.38	7.11	1	5	125	211	Zaza Pachulia
865	766	33.0	5.81	12.78	0.454	0.49	1.72	0.286	2.72	4.30	0.633	1.96	5.64	7.60	3.17	1.23	1.97	2.77	2.49	14.83	1	4	102	206	Josh Smith
119	25	15.7	2.72	5.95	0.458	0.03	0.11	0.231	1.43	1.92	0.746	1.30	2.74	4.04	0.97	0.45	0.39	1.98	1.13	6.90	5	4	121	206	Sean May
1000	354	15.9	2.40	4.93	0.486	0.00	0.01	0.000	1.02	1.60	0.639	1.81	2.90	4.70	0.38	0.43	0.64	2.15	0.92	5.82	1	5	113	208	Nazr Mohammed
143	58	16.4	1.76	3.97	0.443	0.10	0.34	0.292	0.89	1.35	0.658	1.17	2.27	3.44	0.99	0.60	0.34	2.47	0.97	4.50	4	4	100	201	Viktor Khryapa
186	9	10.9	0.96	2.67	0.361	0.34	1.06	0.320	0.81	0.95	0.847	0.15	0.96	1.11	1.17	0.56	0.08	1.12	0.75	3.07	8	1	86	183	Eddie Gill
413	64	19.8	2.04	4.99	0.409	1.02	2.87	0.354	0.96	1.23	0.778	0.89	2.67	3.56	0.89	0.38	0.32	1.69	0.62	6.05	8	4	109	203	Anthony Tolliver
18	0	8.1	1.17	2.67	0.438	0.22	0.67	0.333	0.39	0.72	0.538	0.22	0.89	1.11	0.83	0.28	0.00	0.89	0.78	2.94	1	1	89	188	Darius Washington
12	0	11.3	1.58	5.00	0.317	0.42	1.92	0.217	0.67	1.00	0.667	0.33	1.00	1.33	0.67	0.25	0.17	0.67	0.50	4.25	1	2	83	188	Robert Hite
587	159	21.7	2.43	4.84	0.502	0.00	0.04	0.038	1.73	2.68	0.645	2.47	3.91	6.38	0.81	1.05	0.22	2.09	1.00	6.58	9	4	93	206	Jerome Williams
579	165	17.4	2.12	5.37	0.395	0.95	2.64	0.361	1.26	1.45	0.875	0.17	1.24	1.41	2.79	0.61	0.06	1.70	1.07	6.46	1	1	76	183	Chris Whitney
1424	892	26.9	4.98	10.23	0.487	0.03	0.13	0.211	2.12	2.98	0.713	2.90	5.46	8.36	0.93	0.67	0.52	2.93	1.77	12.12	2	5	111	213	Kevin Willis
1380	839	30.8	5.35	12.23	0.438	0.91	2.55	0.356	2.58	3.74	0.689	1.34	3.23	4.57	2.24	1.02	1.01	3.03	1.81	14.19	1	4	102	208	Cliff Robinson
151	9	12.1	1.38	3.01	0.459	0.00	0.01	0.000	0.39	0.54	0.728	1.26	2.17	3.43	0.43	0.21	0.37	1.69	0.49	3.16	3	4	116	211	Joel Freeland
69	2	12.3	1.99	3.68	0.539	0.00	0.00	0.000	1.00	1.29	0.775	1.06	1.91	2.97	0.43	0.29	0.45	2.07	1.06	4.97	3	5	113	208	Jackie Butler
49	1	9.3	1.37	2.39	0.573	0.00	0.02	0.000	0.63	1.82	0.348	1.45	1.90	3.35	0.04	0.20	0.43	1.39	0.39	3.37	2	5	118	208	Justin Williams
418	319	25.6	4.59	8.24	0.556	0.00	0.02	0.111	2.36	3.42	0.690	2.41	5.30	7.71	1.17	0.32	1.57	2.46	1.54	11.54	9	5	129	213	Andrew Bynum
237	8	12.3	1.91	4.98	0.384	0.69	2.00	0.345	0.32	0.42	0.768	0.24	0.76	1.00	1.52	0.36	0.01	0.82	0.54	4.83	8	1	75	180	John Lucas
23	1	4.2	0.48	1.09	0.440	0.00	0.00	0.000	0.26	0.52	0.500	0.30	0.35	0.65	0.78	0.26	0.00	0.57	0.48	1.22	2	3	95	201	Julius Hodge
600	361	23.6	3.75	8.19	0.458	0.52	1.48	0.353	0.99	1.42	0.703	1.53	4.40	5.93	1.89	0.40	1.00	2.63	1.49	9.02	8	5	111	216	Spencer Hawes
249	10	24.0	2.97	7.44	0.399	1.66	4.61	0.360	1.45	1.73	0.840	0.51	1.93	2.44	2.22	1.00	0.16	1.48	1.15	9.05	4	2	84	198	Rudy Fernandez
835	834	35.5	6.41	11.06	0.580	0.01	0.06	0.102	5.14	9.00	0.571	3.54	9.17	12.71	1.51	0.99	2.10	3.31	3.07	17.97	1	5	120	211	Dwight Howard
139	75	11.4	1.12	2.77	0.405	0.01	0.03	0.250	0.55	0.81	0.679	0.89	1.95	2.84	0.29	0.37	0.12	2.16	0.80	2.80	3	5	127	211	Babby Araujo
864	758	35.8	4.90	10.62	0.462	0.95	2.84	0.335	2.99	4.18	0.716	1.01	4.43	5.44	4.65	1.67	0.48	1.92	2.18	13.74	1	3	94	198	Andre Iguodala
72	3	10.0	1.17	3.26	0.357	0.44	1.24	0.360	0.72	0.99	0.732	0.38	0.86	1.24	0.81	0.33	0.04	0.99	0.68	3.50	4	3	98	201	Luke Jackson
516	311	21.6	2.78	4.67	0.594	0.00	0.00	0.000	0.74	1.48	0.500	2.31	4.73	7.04	0.91	0.64	1.12	3.15	0.93	6.29	1	5	113	213	Andris Biedrins
564	193	21.5	2.73	7.01	0.390	0.64	2.01	0.319	1.31	1.68	0.777	0.27	1.33	1.59	3.48	0.73	0.13	2.12	1.52	7.42	1	1	77	183	Sebastian Telfair
714	196	18.4	2.69	5.76	0.468	0.03	0.12	0.282	1.44	2.08	0.694	1.81	3.78	5.59	0.71	0.42	0.59	1.86	0.90	6.87	1	4	107	206	Kris Humphries
786	242	26.6	4.74	11.21	0.423	1.94	5.21	0.371	1.74	2.37	0.735	0.54	2.71	3.25	2.25	1.01	0.22	2.29	1.47	13.15	1	2	102	198	J.R. Smith
6	0	4.7	0.00	0.33	0.000	0.00	0.00	0.000	0.67	1.33	0.500	0.00	1.50	1.50	0.00	0.00	0.17	0.67	0.67	0.67	2	5	118	226	Pavel Podkolzin
690	341	21.5	3.07	6.46	0.476	0.14	0.51	0.269	1.72	2.40	0.719	1.11	2.14	3.26	1.34	1.40	0.43	2.34	1.37	8.01	1	2	97	193	Tony Allen
